bottle,family,capacityMl,neck,glass,variant,glassMm,diameterMm,skus,tag,glassPct,glassPx,governingSku,check
23,Cream Jar,3,20mm,Standard,,18.0,35.0,2,S20,23.0,395,CJBlu3,Heights disagree: most common height used; fix the SKUs listed
104,Vial,2,13-425,Standard,,22.0,16.0,1,S20,24.0,412,GBVialAmb1o5WhtCapSht,
24,Cream Jar,5,27mm,Standard,,24.0,31.0,2,S20,25.0,429,CJAmb5mlBlkCap,Heights disagree: most common height used; fix the SKUs listed
25,Cream Jar,5,PRESS-FIT,Standard,,24.0,31.0,1,S20,25.0,429,CJAmb5mlSlCap,
26,Cream Jar,15,37mm,Standard,,26.0,55.0,2,S30,26.0,446,CJClr15Pnk,Heights disagree: most common height used; fix the SKUs listed
106,Vial,3,13-425,Standard,,29.0,14.0,3,S30,27.5,472,GBVGreen2o4BlackCapSht,"Heights disagree: most common height used; fix the SKUs listed; all the odd ones are short-cap listings, possibly measured with the cap on"
27,Cream Jar,20,40mm,Standard,,33.9,55.0,1,S30,30.0,515,CJWhite20,
28,Cream Jar,30,45mm,Standard,,35.0,52.0,4,S40,30.5,523,CJAmb30BlkCap,
103,Vial,1,Plug,Standard,,35.0,8.0,4,S40,30.5,523,GB1mlVBlk,
105,Vial,2,8-425,Standard,,35.0,12.0,4,S40,30.5,523,GBVialClr2mlBlackCap,
32,Cylinder,3.3,12mm,Standard,,37.0,14.0,2,S40,31.5,541,GBSpry3mlClBlk,
29,Cream Jar,40,48/400,Standard,,42.0,56.0,4,S40,34.0,583,CJAmb40SlCap,
50,Decorative,3,14.3mm,Standard,Tola,42.0,18.0,1,S40,34.0,583,GB3TPlGl,
100,Teardrop,9,Ground,Standard,,43.0,20.0,3,S40,34.5,592,GBTRDPClear,
56,Decorative,35,Ground,Standard,Eternal Flame,44.0,63.0,3,S40,35.0,601,GBEternalFlameClear,Heights disagree: most common height used; fix the SKUs listed
91,Sleek,5,13-415,Standard,,45.0,17.0,36,S50,35.4,607,GBSleek5BlkSht,
101,Tulip,5,13-415,Standard,,45.0,23.0,36,S50,35.4,607,GBTulipAmb5BlkSht,
102,Tulip,6,13-415,Standard,,45.0,23.0,35,S50,35.4,607,GBTulip6BlkShSht,
107,Vial,4,13-425,Standard,,45.0,15.0,12,S50,35.4,607,GBV1DrmBlackCapSht,
51,Decorative,4,8mm,Frosted,Heart,46.0,32.0,2,S50,35.9,616,GBHeartFrst4KeyGld,
82,Rectangle,9,Ground,Standard,,47.0,24.0,3,S50,36.4,625,GBSQSTBlue,
53,Decorative,6,14.3mm,Standard,Tola,48.0,22.0,1,S50,36.9,633,GB6TPlGl,
33,Cylinder,4,12mm,Standard,,49.0,14.0,2,S50,37.3,640,GBSpry4mlClBlk,
83,Rectangle,10,13-415,Standard,,50.0,29.0,38,S50,37.8,649,GBRect10BlkSht,
43,Cylinder,30,18-415,Standard,,50.8,42.0,2,S50,38.2,656,GBSpry1ozGl,Check height: GBSpry1ozGl is a slim 30 ml tube; 50.8 x 42 mm cannot be right
30,Cream Jar,60,58mm,Standard,,51.0,59.0,1,S50,38.3,657,CreamJarFrstdPlsBlkPls2oz,
31,Cream Jar,63,58mm,Standard,,51.0,59.0,1,S50,38.3,657,CJWhitePlsSlFr2oz,
99,Square,15,13-415,Standard,,52.0,26.0,34,S50,38.8,666,GBSqr15BlkSht,
8,Apothecary,118,Ground,Standard,Pear,52.2,27.4,1,S50,38.9,668,GBPearClear4ozStpr,"Check height: a 27.4 x 52.2 mm glass holds about 18 ml, not 118 ml"
57,Decorative,355,Ground,Standard,Pear,52.2,92.0,1,S50,38.9,668,GBCB12ozPear,"wide glass: 69 % of card height across, check the cap fits beside it"
34,Cylinder,5,13-415,Standard,,53.0,17.0,70,S50,39.2,673,GBCyl5BlkSht,"Heights disagree: most common height used; fix the SKUs listed; all the odd ones are short-cap listings, possibly measured with the cap on"
35,Cylinder,5.5,13-415,Standard,,53.0,17.0,1,S50,39.2,673,GBCyl5SpryBlkMatt,
12,Bell,10,13-415,Standard,,55.0,27.0,4,S60,40.2,690,GBBell10BlkShSht,
73,Flair,15,13-415,Standard,,56.0,41.0,38,S60,40.7,698,GBFlair15BlkSht,
89,Royal,13,13-415,Standard,,56.0,43.7,37,S60,40.7,698,GBRoyal13BlkShSht,
78,Pillar,9,13-415,Standard,,57.0,21.0,3,S60,41.2,707,GBPillar9BlkShSht,
79,Pillar,9,17-415,Standard,,57.0,21.0,1,S60,41.2,707,GBPillar9SpryBlkMatt,
6,Apothecary,15,Ground,Standard,,58.0,30.0,1,S60,41.6,714,GB15ApthBlue,
7,Apothecary,30,Ground,Standard,,58.0,37.0,3,S60,41.6,714,GB1ozApth,
16,Circle,15,13-415,Standard,,60.0,50.0,36,S60,42.6,731,GBCrcl15BlkSht,
63,Elegant,15,13-415,Frosted,,61.0,35.0,36,S60,43.1,740,GBElgFrst15BlkShSht,"Heights disagree: most common height used; fix the SKUs listed; all the odd ones are short-cap listings, possibly measured with the cap on"
64,Elegant,15,13-415,Standard,,61.0,36.0,38,S60,43.1,740,GBElg15BlkSht,
90,Royal,14,11mm,Standard,,64.0,43.7,1,S60,44.6,765,GBMtlCylGl,
52,Decorative,5,17.52mm,Standard,Marble,66.0,26.0,1,S70,45.6,782,GBMtlMrblSmall,
92,Sleek,8,13-415,Standard,,66.0,17.0,36,S70,45.6,782,GBSleek8BlkSht,
13,Boston Round,15,18-400,Standard,,68.0,25.0,16,S70,46.7,801,GBBstn15BlkCapSht,
81,Plastic Bottle,30,13-415,Standard,,68.0,23.7,3,S70,46.7,801,PB1ozClearcap,
39,Cylinder,9,17-415,Standard,,70.0,20.0,87,S70,47.8,820,GBCyl9MtlRollBlkDot,
85,Round,78,18-415,Frosted,,73.0,59.0,43,S70,49.6,851,GBRndFrst78AnSpBlk,Heights disagree: most common height used; fix the SKUs listed
86,Round,78,18-415,Standard,,73.0,59.0,43,S70,49.6,851,GBRnd78AnSpBlk,Heights disagree: most common height used; fix the SKUs listed
17,Circle,30,15-415,Standard,,74.0,60.0,7,S70,50.2,861,GBCrcl30GlCap,
38,Cylinder,9,17-415,Frosted,,74.0,21.0,29,S70,50.2,861,GBCylFrst9MtlRollBlkDot,
40,Cylinder,9,17-415,Swirl,,74.0,21.0,29,S70,50.2,861,GBCylSwrl9MtlRollBlkDot,
65,Elegant,30,15-415,Frosted,,75.0,44.0,7,S80,50.7,870,GBElgFrst30GlCap,
66,Elegant,30,15-415,Standard,,75.0,44.0,7,S80,50.7,870,GBElg30GlCap,
10,Atomizer,5,13-415,Standard,,76.0,18.0,9,S80,51.3,880,GBAtom5Gl,
55,Decorative,32,Ground,Standard,Genie,77.0,42.0,2,S80,51.9,891,GB1ozGenieCl,
14,Boston Round,30,20-400,Standard,,78.0,33.0,53,S80,52.4,899,GBBstn1ozBlkDrp,"Heights disagree: most common height used; fix the SKUs listed; all the odd ones are short-cap listings, possibly measured with the cap on"
108,Vial,9,18-400,Standard,,79.4,20.0,2,S80,53.1,911,GB09BlackCapApp,
54,Decorative,10,17.52mm,Standard,Marble,80.0,28.0,1,S80,53.5,918,GBMtlMrblLarge,
42,Cylinder,28,16mm,Standard,,81.0,31.0,4,S80,54.0,927,GBCyl1ozRollWht,
59,Diva,30,18-415,Standard,,81.0,43.0,34,S80,54.0,927,GBDiva30AnSpBlk,
